- ur bank atm still out of service...no money...people using HDFC with good service.,COMPLAINT,END
RT @kodlady: your illiteracy about India &amp; its ppl continues Not sure how it makes sense 2 u when u air Hindi ads in Kannad?,COMPLAINT,END
Its being over a year &amp; I haven't received any reply on my issue.
Seems u ppl are deaf enuf.,COMPLAINT,END
your illiteracy about India &amp; its ppl continues Not sure how it makes sense 2 u when u air Hindi ads in Kannada FM channels!,COMPLAINT,suggestion,END
RT @anirudhsurana: still cheque is not cleared #slowbank https://t.co/XuBzNInEPU,COMPLAINT,END
still cheque is not cleared #slowbank https://t.co/XuBzNInEPU,COMPLAINT,END
Have booked one ticket from BPL to NZM and then cancelled. But the refund hasn't received as yet. https://t.co/Fri8gCgvYg,COMPLAINT,END
I got a mail from a branch, i replied but no revert from their end. Manager's no. mentioned therein was also wrong,,COMPLAINT,END
How do you expect your customers to call you if you don't provide any contact informatio? https://t.co/oRMI0TQc7w,COMPLAINT,END
sent. Had sent before as well but obviously you never cared to call. Let's see this time,MISC,END
@peeyuka Really strange. Just took one phone call (from them) in my case. @ICICIBank_Care,MISC,END
RT @namasteyog: Got a call from 7033158344 for renewing my ATM card.. @KotakBankLtd @TheOfficialSBI which one of u ws tht???,REQUEST,END
Got a call from 7033158344 for renewing my ATM card.. @KotakBankLtd @TheOfficialSBI which one of u ws tht?? Or just Phishing,REQUEST,END
@atulkarmarkar I had to make rounds to the bank, multiple calls, it's scary how they really don't care,COMPLAINT,END
@peeyuka Surprising. Recall a dodgy forex txn on my credit card and they immediately blocked the card &amp; sent a new one. @ICICIBank_Care,COMPLAINT,END
please look into the issue. https://t.co/ZWeoQmNpaD,REQUEST,END
@atulkarmarkar had complained to about suspicious activity and they never really did anything about it,COMPLAINT,END
I've applied HL in Virar branch but even after 1 month I've received not received the Sanction letter.,COMPLAINT,END
Dear @ICICIBank, you need to clarify the doubts about ATM Cards being hacked. Do we customers have anything to worry about? @ICICIBank_Care,REQUEST,END
@OnlyIndia over 60 days now, where is the cashback? have not received anything so far on my savings account,COMPLAINT,END
Look how the clone ATM cards of icici bank are duping the serving soldiers @CKforCleanIndia @ICICIBank,Suggestion,END
So you don't even care to respond to tweets as well .. eh.. nice way of providing support..,COMPLAINT,END
what's use of intrnl debit card when it doesn't work.I tried using platinum debit card in Uae &amp; it doesn't work.I m stuck.,COMPLAINT,END
Hey @ICICIBank_Care, a transaction on https://t.co/OAES9xyRaQ was cancelled and refund hasn't been reflected in my account yet.,COMPLAINT,END
@chandakochhar email gone wrong! Can't read the mail, it's all right aligned and not vis? https://t.co/9fBXlE9U0T,MISC,END
Call Needs to be From Mr. Ravi Narayanan as Promised Earlier. Query Ref No ICICICARE=014-532-487 Only Got #TarikhPeTarikh,COMPLAINT,END
First ask for contact details fr complaint redressal Nxt sleeps over fr 5 days post recpt of inf Nx? https://t.co/v4oETbEhA2,MISC,END
not need to do anything for me. I will manage things. I don't want to use your atm services from now on.,COMPLAINT,END
Change this to ICICIBankNeverCares,COMPLAINT,END
9937710983 call me now,REQUEST,END
leave it man, close that account. I am opening a AC in axis bank,COMPLAINT,END
@virrmaani they never answer on your issues. But just to manage Twitter,COMPLAINT,END
what the ATM isn't fixed?? Badi Badi baatin vada Pav khaate. 

@YESBANK @HDFC_Bank @AxisBank,COMPLAINT,END
Sir, how much time required for crediting NEFT amount from SBI to ICICI saving account! Three days! What RBI guidelines are?,COMPLAINT,suggestion,REQUEST,END
Why is Mr. Ravi Narayanan is Not giving Call as confirmed? Ref No ICICICARE=014-532-487
#TarikhPeTarikh #ICICI,REQUEST,COMPLAINT,END
Any Reason Why is Giving Tarikh Pe Tarikh from 8 Weeks ? (Ref No 014-532-487)
#TarikhPeTarikh #ICICI #ICICIBank,COMPLAINT,END
RT @gaurav21961: u ppl are ridiculous.Can't even reply to one tweet while u keep calling and irritating for cred?,COMPLAINT,END
@chandakochhar still nobody contacted me; very strange,MISC,END
yes. I have been assured of a resolution. Thank you.,Compliment,END
5 days and is yet to get back.Such tweets are a farce to project a resp customer centric image .Rea? https://t.co/8So5Pj8CZt,MISC,END
Money deposited in ATM is not reflected in my account. And no one is answering. #waiting,COMPLAINT,END
Shared my contact number on DM but haven't received any call.,COMPLAINT,END
iOS app has too many issues in login,COMPLAINT,Suggestion,END
5 days and the elephant called ICICI BANK has not moved!Reward of banking from inception &amp; being wealth Management Customer!,MISC,END
shocking to know that how can be such a cold blooded towards customer issues,MISC,END
please help, they said they didn't receive any. Can you look into this https://t.co/ZdglSwztiq,MISC,END
I have messaged you in details about your employee and the trauma which I am going thru..,REQUEST,END
