Expected Category, Predicted Category, Next, Diff,Content
COMPLAINT,COMPLIMENT,COMPLAINT,-0.000000000000000000000000000000000000000000000000000000000000000000000000000121535671205211232860739593719997485330121501155018385616917010118469521528538871138568163919887597338795448354879310807374273895348690221262028641111634989867879460020616384732757473554987924260900458558332246900074152819573688690167758827573023314901184423198962685881192075164827466875451058361298795139559122661519209745511797473321677799043748499675738904543360,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000001148483000322738782641776833841030096397700418387298034832888767559953327264225521984591260983712233771353174814531381575470033619508833160191212822813851284124760638937120,it's unauthorised atm withdrawal transactions  waiting for the revert
COMPLAINT,REQUEST,COMPLAINT,-0.0000000000000000000000000000000000007014071697387012786344675678670509374855533430167922188345515648341896751163397701074397015389440996397971757618752239565794532678335669429819860626862551587465646730860042823134796800,m not going to pay emi hereafter  mark it as npa
COMPLAINT,REQUEST,COMPLAINT,-0.0000000000000000000000000000000000000000000000000000000015741143386139450189175932170906050755039061762575489274453993815953462068898044912382381430078341510613180032442346257236002804144043680780253059833722888106456758694689893031538131743508203661533799070211872104003935554702156890408951413964130967033073665145005316815831498463201266830989003996263357792000,surrised that to close the car loan i need to travel to cp branch from fbd is challenged technically
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000000000000207863957644384740562435313463794094061849612632674974423535347309572950013580904128105317140059484883859641187016727989069508123056086117632986307195457219177325165004803953432125169570274872485235200,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,REQUEST,COMPLAINT,-0.00000000000000000000000000000000000000000000000000000000000000000001647622906058203213770801848039304054481751872781205066704528909013185548833834814700972172686728224078450948936858675364027042643134242199140102870590818546705205202073905750944193802865833973280852370456536393265460539102198812654711986594459702876137032446162295025034461536548827431683087941123474594697463673703581660916782561765731890659731769653646747588320582028125000000,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000000001173783869916730874181247789114139731357173080917947453322125127896976026835516447936698420873831367721668090762168057988092354605262717469192271429202087115609989106549984871928468725671677720580425868835121997287305962030412604956835428050393730339470595672488941605850075630281689419087459373469179034888026934230020580886007317470064519305054200604323454152952168996040599097753600000,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000005171705755336112514043247155099650116812397471979229158615598670482065094519645487344399362966626582062500038848669777181834398356044976614007433269947722278167384174968328542575050125832700904930574546953027682533775953076501658642568401097019342542435689329839420334591333477210668339200,hi i want to unblock my credit card tried calling but number is not working  please help
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000013975556852812862451864357759773435011253140038899932214314568301302723872158169582665609948395901725969719144357296110928277020739192278727532920813862428558074109166900057973334437072537202145071960605697077157515413745239185086558113827281583748026483854315704839115551474972492559333210465837749365251732090991482828975637300429802265514054206480400000000,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
COMPLIMENT,COMPLAINT,REQUEST,-0.000000143275992617747745545950007321495665273415320680,thank you
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000001301792341595929835042663113087097498841315508134729182584004550456088058148785193389603250190803404520818566330221058473852495882609730276956619489197612751049426553825544052358013413941018158869544819847680350733873776866087734853027160723720401694316297883221073937390872243445955868888478762836886720000000,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,REQUEST,COMPLAINT,-0.0000000029958545079942238800283194041707352626901154785358908010284423400,shared my number
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000000005321930018843725624825499108669172611129868005275042155832919939167960621434411175835586009951287581898113732959157354604875297519767337892935737044572927186423990765693793770622063106846647241635225090900458077752407823203771053806416174379198555816816304716224351395421978516793447397892626431339480873275583994960000000000,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,COMPLAINT,MISCEALLANEOUS,-0.00000000000000211920581760590725964856632052442193995839817850824824273311477193726014822143378327467113188720,finally  after months of waiting
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000024907025198565126230824456430127549038067611858227454355843929266789799171570799073934214611815629486413839710919533384965598830115406826582033873682045155264413482383503302380477858341257381699351980007739526465489113660330948757684692186794134201784644604677951164811632722490225567123584000000,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.0000000000000000000000000000000717195245034083886141494856730239921721818151751952816519208226817082012135128992567763048949508846925423341934449152594556329600088050193076112218873209598002016034866841294612188458256000,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,REQUEST,COMPLAINT,-0.0000173783845775782242913674544158010,sure
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000003824558050099685191527827325576423202720940192868579221115485263161408277520099802055241800386774315040333821627620468275459692783519784775861815340741794139176495055751334311341869683169920111539712138090039290051123460264929992021537125831293119668889831274078446791122223552000,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000233879248791721836503438941269582364319311378783533144457034608699661309101771939392930907056194378406718648561384916876989081565443604438511651372756539782890382027253842545467496864187110792863102304000,please also refund the other atm charge been applied on the account
REQUEST,COMPLAINT,REQUEST,-0.000006430943254053134437925470858847457733887176931100,call me
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000105579384750623751875014130208429250938593661385830218265673972779950757890216353517752332262109515013122231793939859237182522300888733532355577751138580120675315490532799378625745540802174550070881445593894700437311504962348434277861575515633766831380022176673745541925435576962737843683514342516907849776118645118317025676404415341818328903429120,kindly tell me how to contact customer care for cr card account login i tried your all number and become full
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000049755199182217569839759716409033028634517623774649302136297525205008608114613609216008192825260697916018845156708450678980251749651847547006151177223423924755045436250641801634923094898067196285382493731301441464648403349364682087696171327651634446400000000,is this a valid email  i do not have any account with you ending with
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000204417260001017741398315022156167685019875409037670837588207887352988522998232629915638792586207116591425816179546536617371873660326866995012146073765035229066476884821545889594115150674936371292777334316374582686646012704554565375228846908302332087752238724003828358840485493755164772444848577823221168081588535877981828769908416032252595200000,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,MISCEALLANEOUS,REQUEST,-0.000000000000000000000000000121871696178415191595959995345774512519583300212687543466672319060548021232200427824719120400852552741398675129058698358343549234627786240196899354000,i ll b in delhi on nvmbr contact m
REQUEST,COMPLAINT,REQUEST,-0.000000000001163200621473463964861125546817286228814427157864766266037198841208555169304920500,nothing yet  please help
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000430160316173660223239128607662698658903354909034274426779277892977669751211728397945105889428653891017270229169449484134215638310246270898411296180549049226659379194640978539571009217394888286670247287243651427063739150375865028747928916982674449280,can u give a resolution r solution to this  i send a dm as well
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000002066433937279325573553561617979862443816708930410663170069567907400079462812315869833138948237144390121376574817441216000177096245829245058783105539678675680110870654091397890805639256182211084590048832997060991223454901879046481120000,why there's no kannada language in ur challan  saw this today in bhattar
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000290129160526286285285235121735711767540523606801845513923326800576274263395009647856234413111531554293307554300,Looking for a credit card.
