Expected Category, Predicted Category, Next, Diff,Content
COMPLAINT,REQUEST,COMPLAINT,-0.0000000000000000000000000000007810246385214760902439893692394423554020739092782401377518753692509367280750220351866989406034074040583909445156292336046636949931906875240542785660812424452830404398016669290000,it's unauthorised atm withdrawal transactions  waiting for the revert
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000000000000434641164040965887784172311063512717408152038173097810117734036129881703039849652868570732450274583016609188768032218573012573105587159640219587565316120808409243991435737036887343627197361464000,m not going to pay emi hereafter  mark it as npa
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000000000000000000000000000000000844551888216708357317597894714851270559750869631481938063360700462329725044400057476500316519955405651100259144384656118540410383988941062618422914118812648409321879200871963299013986208863278832888509395417369938536850320412543032662633910515873412984675094677923023235264564328449739840437820929832930359681359850403035873280,surrised that to close the car loan i need to travel to cp branch from fbd is challenged technically
COMPLAINT,REQUEST,COMPLAINT,-0.00000000000000000000000000000000000015019476869519214183596831590546289911580826182116749895827111683003041199609586438780250166565062311620537970888245591541166116308867397587755087962831534880139788096462071787082346147172064849940899248773536000,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,REQUEST,COMPLAINT,-0.0000000000000000000000000000000000000000000000000000000000000000000101963650834046745579241726489128096155591538988299863293232353339991604093621552633484578780777551414868264109374041802931522178052501737213937530318769358950132328218646139074216613685913383544151566818875059608754478361178974931580351186178982823809438696543670991341734798598503265269676613233899466036997757426590504572110609436258111221256118509014343811819745524625028051130777600000,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000000000000009624089681417724716982920148750261220330585157108282653412096787826110954925474512823629044622148794398115363098401236634277302232530534844258361936555836823503604033370454057136640168295963332613463871961828926361998395204819138208956500672848693958401484864380747793001646575372830456553525745609381132019043283086475341213105216288382884407261473103973458990903359554407621965316935371626248504934400,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000505516445474056697799175905593285439489885918876306924615888870165146884320999023128090779833197953991307131493627032940308040414268774544593370621300055112289494905844858364713100856588150316983447530509144799632945551135762264073215211543286710695266849618236078424189897803277642678742784000,hi i want to unblock my credit card tried calling but number is not working  please help
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000010825665561735233087681021255717042804937378424968132030521142071522752256661916767815144499783584790017719733418209044762316324691800996861897995465416268082306563836446646252789050515015652521940243985718281253992083914826112771030782344180164180838321085044852666093250966481995490798385115171806258916026464217534478373118397464988421742643921872995657136146897331814400,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
COMPLIMENT,COMPLAINT,REQUEST,-0.0000001399030518552770773983829147478059591975397950700,thank you
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000095180685352741026115732817251555923724560239758449805356464669047979427025124155801919210905529376602579935900694148853614796468580374526410207544157446364681123757760786334910989202323269992331470129795052366834654334145312909995303458126410703535827840564070020854172191275972706655361586030843214233215237660803756490498048000,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,REQUEST,COMPLAINT,-0.0000000029762011209733336134261848558588142322131434895494374901194670950,shared my number
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000000000360511107890953794150021849952147216946130875779851099275056396760369257448546337985363216771469547640623826370672452628540796884620108785104253368971244866818990945862749836064887729718189115044567886991941223707235230218301403552919659944707001736338258002645696500891560568252153364902998948740404444258814293146056780770739083569692074632151040,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,COMPLAINT,MISCEALLANEOUS,-0.00000000000000209939823554724134600908149661683197428722659550726546411659130102513833147954505750641161651069640,finally  after months of waiting
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000001617928909011389980881587385015953592271591271703377241897918798229452043356300725505668509433846925534107034681843174397912160011489509261438051536543824466623969423902576309174713515184677457587736920571010430624092753809931513056420388259774962804427985667832656655082974381013440287263328458433772473600,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.000000000000000000000000000000066931987468865892767547181517516975140869177650624571015464539799386800425883648781387578378944866299635967357755930007696026415458621475328431008033088609979565055485334661269671952334552416000,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,REQUEST,COMPLAINT,-0.000017558310101092150382288557955130,sure
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000002841517002941780717493866789818006883023948285219747188963952315494456434252150994298881028144759391114680717388069377028044109804409665873541128568488592994672032866060394801318342303933917456813127058611792129188179677504448392867111040860732043199225685264284872330453386996639354795091200000,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000002297916898865724951213795729443350282475434291516270850904496315009096007384515813509856530975435411740396007476092272425533817730586113053439361943463634386068687052300912670294782092769631954809542248028700000,please also refund the other atm charge been applied on the account
REQUEST,COMPLAINT,REQUEST,-0.00000643058093588937938895913209619427850276507197940,call me
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000009675875791153500627372843113419738876743849647039147694167582160734797474064169287082773828027631767455533067198872926653638205471181038749348631134547098957457872212017319904291940841695717161081728206591134839421784007435935184097994610160486380623974328413806360862765872890108168723474708896561549105702563551865772875476753303424223718993669499199160320,kindly tell me how to contact customer care for cr card account login i tried your all number and become full
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000042990037574856627294047813587466878572313233512940571161690607545850061413908028372226945654585424638710077386897245204976290505486127562878801732219678022450655109985230338366334198915508430003935778477456195858435616322686737158205678385092337309663237300000,is this a valid email  i do not have any account with you ending with
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000174322532361522152470341636728920367814482892377763843301456066380573524037860514179058723862267602655406591439218119354666759638973931724243921877078401803922349242684750779380560322173565878614954314736478314250965233154695075766864165782009341876613931318593526249649506067189940316905598200210656826608634512283799774746676637914530654925813771505836851200,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,MISCEALLANEOUS,REQUEST,-0.00000000000000000000000000010057041534020057899973307445430403057644904851536001875599485679442693750413406779573249265990444690934112633558822986317514237703161397669062284722461711583962400,i ll b in delhi on nvmbr contact m
REQUEST,COMPLAINT,REQUEST,-0.000000000001210681265938537481965115264767614165337803359017020323291346599426785976393477940,nothing yet  please help
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000004153477858469277141171098926145078471312567866225462863680039055962771963228364236743754123697353572602717189950034246943928500751727599744137774095278551333992613484825160031826269003210641569691869626161559777320759646294264026878843410787183088288007718400,can u give a resolution r solution to this  i send a dm as well
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000018154766406351475150967499833258216105708772002153663668738406070447079466472365106121125828125497502060064461992874169313944855810409271306222980351762619860344537325467717673605096297228492442332786995845695310129893927051296836926352982240291532000,why there's no kannada language in ur challan  saw this today in bhattar
REQUEST,COMPLAINT,REQUEST,-0.000000000000000002620623667218019314752468509839464981007290741580008880359762123753539922325141124785341966198795692961492136089280,Looking for a credit card.
