Expected Category, Predicted Category, Next, Diff,Content
COMPLAINT,SUGGESTION,COMPLIMENT,-0.00000000000183001288342208084123940655188455675041883633734258360522190333769293888072067725153586401943464867862756960781340158958695146311949972310330960011579427352329001828931632408005261442560062948322252315686667422202545456208526097728083372554930150115105618915734371296000000,u asked me to share d no  i have shared however no call has been received
COMPLAINT,SUGGESTION,COMPLIMENT,-0.0000000000000091298825507307061731154698880912343170302510085576662343470590189650980176413957859375472618880595338857516934507974515506367957137378901770635814282913755753235746810339851595842682192661795124308548603270819211656223996838072356951472820643856438692547769039520478435349257344647332034644920146281384288642007620285638011415283396373708800,is giving me a tough time how the hell do i change the registered mobile number on my credit card
COMPLAINT,SUGGESTION,COMPLIMENT,-0.00000000000000058879349375011789343695088418714475662555272859813976536853848145845433088250788970290102175814270593055052123754856766957727755160776645897613100302704800977189767265510123308579571953360464189944052798354939966351101566839281939124262150679839430524748576225040534282630093598373232325015652803747466419205939568783306228114213542263859067013585423953278667660456389120000,called custcare twice but issue is still not resolved instead of solving my issue rep tried to sell their product not happy
COMPLAINT,SUGGESTION,COMPLIMENT,-0.0000000000000092588245093957898563510968318240626481999999979510698943484964581624481353837849590308871216876980844891360094725068302198989183968254576137696025607752074409066227061481954010077474296184112081590511886124463681910829421727470149032619470910917963226662271026896094346075187897006612571302173821990114071213957322085505423220689819284049920,do not even inform changes in writing  anyone calls say they from the bank  phishing risk v high no security
COMPLAINT,SUGGESTION,COMPLIMENT,-0.0000000000000000006246361922527197265202123150687018007942792354395126163654071624213567544753909940811003122943782822460370431281083458655286727990054191674093154183725039244768203087376159301523137868491849154038529902356290529729899690054877404872002138156967547430311860347344007090842527868074517630605479124103675896673677389004126095939277259672756198479595722282699808207912537865231226977027754460144224386529626561146683535711927440152029799544049732648960000,u want me to pay rs for the debit card  so first you screw the customer and then ask them to pay to get back to normal
COMPLAINT,SUGGESTION,COMPLIMENT,-0.0000000000000005724661100908956547041017087013123499920655510108196222994546384170038183018927676374402824265811953310125005209659556343202937845382520469884933262921548993365165090609266348602243028309948513933792374091312806568049824490469863900545073861631562211412839586260968403485227551340533512655181167879983946528811281733479226732587870244184597532897606532221698014258275328000,i am only getting emails customer kept in dark about d progress   it has been a month since my money was gone
COMPLAINT,SUGGESTION,COMPLIMENT,-0.000000000000000585448162425285638905027331419605644313308923158678074854596049064814944292128654672889248458812426771802681884537575149555091404646532830852774453974365560943406741153940300859315509779696794182781420150024075396912118182034315515526986174729824660613461631827981427291043049769120243043370270519094948542445019264892183968904920600009471577417275659141102248359887497779200,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,SUGGESTION,COMPLIMENT,-0.00000000000000873165973332297203438569082629942341145907250640007945099648115801517753975764092478097806188896630192580811584558216031918253232857554906964378883523178058405211410195431094580664253633636482577697941611600022507301439067443808282332139697201785387313752832091239074927827183006273412938474369428999658599016187692496036708503870277632000,i am furious  u debited twice from my bank when using pockets app  i want my money back now la
COMPLAINT,SUGGESTION,COMPLIMENT,-0.00000000002605257722388142482202436538419233457378585013797835525083765419587420913150018173622190503677945170086259910756463377013885240956345929277340221433186865236623795596724279597673702934767753400931548489206629289707544374763510316422730431043200,still no call from your side  already dmed you everything still waiting since days
COMPLAINT,SUGGESTION,COMPLIMENT,-0.000000000000009080803877147180149056455899995098574719730524072241499008555274540109386957202147644065339362576970825378263472528770535268890296156945344272623312812052351442728123253313371125152832731118057124796860625736436468428682498341691725478838109489430568122619244192185132444550743630884774605323171344201722044248139425655112520130117950320640,try to withdraw from icici atm and it don't work  so use another bank atm and pay per trx
COMPLAINT,SUGGESTION,COMPLIMENT,-0.000000000006905218622406471211859473394522024039023203288015781228211119640203176917444945053460911553831017946992357195437537807824940273116395115294353691963436355405137228604122737921787110188659340225124227933814173660784717606879256280312214855998230656258444640000,would you care to reply  or pretend caring and ignore like your customer care does
COMPLAINT,SUGGESTION,COMPLIMENT,-0.00000000000000888969972663199182356730415389484248766407284988989886790140016935344567526417925485855576795225900158621401447871228611757089673023782557334424540401451414953774169606764531921007575657064386528637290082771277844563949925668783440099814235345166715202947519965314526392416269904503539450439984717424309251433116229227392804357066802080153600,credit card application pending since last month    bhai ye he apki services approved twice also also not getting a card
COMPLAINT,SUGGESTION,COMPLIMENT,-0.00000000718885114812150962337851992523257396432190964896519990542333924471875112318051659237151387342983901647500595119999011358172265517120357992328422894273936444461040,your link for sending private messages does not work
COMPLAINT,SUGGESTION,COMPLIMENT,-0.0000000000000348473922268363781967874837770406351131520280183618873670059496496819238803953010758201295861404657998772959664923936496222985451716643233424399941490205688281057751484652722601525840537865355519507230810529144479355423012512890430047982280188761044293016942609762957208999995166323440473897139246908138689683978190696499200,r u not serious abt bug in banking app imobile dirty crime promised return my money but no use
COMPLAINT,COMPLIMENT,SUGGESTION,-0.000000694104644748284016954401405785596054667202624482310285330287071230655245903831995592356087569389088239997802960,worst bank who enjoy harassing u
