Expected Category, Predicted Category, Score, Next, Score,Content
COMPLAINT,COMPLIMENT,0.0000000000000000000000000000000000000000000000000000000000000000000000069442252505273198063062374172082789140755182961045205562578477760813095274920470803092943582126844728040731041848576942610975755826561004574784259696613107264149057980344647464433032457809224322987321342214050996469956960031232258812513671540981711462158438692700350902055322508685897504048816609702757088624787733044712544167363030144771106905843446695281250000000000,MISCEALLANEOUS,0.000000000000000000000000000000000000000000000000000000000000000000000000266806130203352325061055066501787585705150652654415348789079776794638804907198950945980097944638202002547016019102185342006823537757268115699785561299967010373544696143965005225368895062442622474880301434957586358833980018435107211098925797774011590008923922676285090279075829736062058221858204483095081566728669629793204954323362785953613281250000000000000,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,REQUEST,0.0000000000000000000000000000143906688668591300536276952846287964401525651619095628640204099362303726779288619604831416297044247387785835522581861150750404672051889078989313915436301305454557921280,COMPLAINT,0.00000000000000000000000000000699306550002273976699557065989914507181217224597448003821605412717343506698975227235239928610751350086799334938861144786428283373907698364578395721528538552069092134004736000,it's unauthorised atm withdrawal transactions  waiting for the revert
COMPLAINT,REQUEST,0.0000000000000000000000000000000000000000000000971022761112226915809935808101458913569810997190402044479911693071237038753301222743514897987744960362392169060791286475986970363834077007096021690018351033988591502509957351222417255624623171751782070830103647982727400480662058620481857317701762521497600000,COMPLAINT,0.00000000000000000000000000000000000000000000006042138076912149751535304994580216325549026975630218690467688416967552938289952829229709442601005378560148600920666952298156080749692998072765535735486877725268621341866211140882789851531043642926499230127053453953529790296870710942723930552394050398854982134661120,got a phishing call from + the lady representing asked for credit card details and cvv
COMPLAINT,REQUEST,0.00000000000000000000000000000000004116955250249790093785316490440578104131933321070915324886079857975360747480285049607465827910893132129656830069713008110728203584754121785874653104116555179515149178794588241920,COMPLAINT,0.000000000000000000000000000000000024204086252188948440443823944857854590065766086312262744337201749809567788456148333702072089272118957563614610014016988432685040895077403173127026811865127258680735632175759569113579520,m not going to pay emi hereafter  mark it as npa
COMPLAINT,MISCEALLANEOUS,0.00000000000000000000000000000000000000000000000000000000000650630272366688009830583080157052649861255308661219405380487780509811743605027631478867897350909731475554838857135595812718979662721977361703028646747978466829777745272222581669957246024507180355370229049494817125607685356296097033588371495073873331508542969822883605957031250000000000000,REQUEST,0.00000000000000000000000000000000000000000000000000000000000252236378049489590947541520830298166140263071373035225036902157437287921256558590107484366923324499694503063627171183447913774616407557504978947263090107077920283695840225090108383251247407399356365789722588531665788633933903443877057784830203055462087096783972881687368932729346500354453274624000,lovely   your rm in delhi doesn't even bother to address his client with a salutation   uncalled for   shameful
COMPLAINT,REQUEST,0.0000000000000000000000000000000000000000000000000000001989969196038087821687207669247972863622641280905551003802861907325864744827606942274440266432828788174017647526380705733942851014631664449573165087701994944007112194000286776751654990701153935388190512043777539834812845701945291494198174565658767794575689187095822201535888708344809342376640797600655605760,COMPLAINT,0.000000000000000000000000000000000000000000000000000000082842705824451104604602640653074198727190340993583562263853404307519690881388192306886035779817235063914160929589507755163898787263425217340562599073067596005673365268972858144968269355148079373248592147707910561732674304599607785674854727600317886514856050487160183847620572454946783469525462148603699200,surrised that to close the car loan i need to travel to cp branch from fbd is challenged technically
COMPLAINT,REQUEST,0.000000000000000000000000000000000002435851524551004254778726740967919430670021571530225158691734590338017735681957310612289191696181385376399293188014513156181636550424272318466035938539869144858173099956135160353649015062528000,COMPLAINT,0.0000000000000000000000000000000000002075584510667968523657519827221946090982117378816371405860069947466209514596646259691449626062028408164500863224201553220848152035505071230224698102425330340813373919956204977723545463806907637898240,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,REQUEST,0.00000000000000000000000000000000000000000000000000000000000000000050795436857063202045387014744442480618084729595985180026848439455038726196602684389398267576323022747755059974482967736314931718882693146400145381779931930176564730736323240162220425805248878124785454645542946431171325478798235214369963405187758011691042116824568719996886759221688293563462781672827605678988001658704265036076392832755031640744376766824448000000,COMPLAINT,0.00000000000000000000000000000000000000000000000000000000000000000002622748897238405996904232737128257947472325008651423215088390448118761858701010655853579122643120874289819474064909037652752350841794555790387683507784638965026131281327605128874758350164514103959835603703513117259452259151119237342580870853003210843201900832567444004506563288859905554872512991609190447281780399217625060070692191207581084721302509545106245934200037729894400,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
REQUEST,COMPLAINT,0.00000000000000000000000000000000000000000000000000000000000000000878336901350259883270131439315162669878937421732030769012771644052513721412003221489333069682749228316446105321369748072215033553644652546018681083212177573879297811031547477819790079992308570452351075850641622132988250556978635681630660780035183046669674860973215119099678328684004601941368897395866549078270649589151796396585369442821833870790797938144013721462946900736329224552448000,REQUEST,0.00000000000000000000000000000000000000000000000000000000000000000529149636463321824169333122059279721733648835907989429929308331203182951099704466137165296294772549983579322423460758702701846771947907822917548457527246625098079313427458616246211987136540182504450150194400493724411718074067306371276664937147977457364861929761502490668264162893534433510137630023969893513942002785304089051305405428148432583490609508176357879343177076628112015360,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
REQUEST,COMPLAINT,0.000000000000000000000000000000000000000000008972756155565108334690509279421883740086555148700117584442893211624195768773087388097876932289237184759041949099213044321676432577340228069194570359309857883011935470914055318637856376705795344486244249948675970516850667338264860564453459426452499320098762500192273694115780679680000,REQUEST,0.0000000000000000000000000000000000000000000032220525223457065772970859166359269429427174705219811199687056530662500194476359805531115404957339692129908335829420719655465106692166192748107329345881691941571403035116188039374522710557635143234916590181286809976939111805942652680799275891233982723173142232204176261120,hi i want to unblock my credit card tried calling but number is not working  please help
